sale_id,sale_date,year,quarter,month,country,region,city,product_name,category,storage,color,unit_price_usd,discount_pct,units_sold,discounted_price_usd,revenue_usd,currency,fx_rate_to_usd,revenue_local_currency,sales_channel,payment_method,customer_segment,customer_age_group,previous_device_os,customer_rating,return_status
APPL-00000045,2023-01-07,2023,Q1,January,Argentina,South America,Córdoba,iPhone 13,iPhone,64 GB,Black,672.2,0,3,672.2,2016.6,ARS,907.0,1829056.2,Apple Store,Cash,Education,35–44,iOS 17,4.5,Kept
APPL-00000046,2023-02-28,2023,Q1,February,Argentina,South America,Córdoba,iPhone 14 Plus,iPhone,128 GB,Product Red,905.12,7,1,841.76,841.76,ARS,907.0,763476.32,Authorized Reseller,Net Banking,Business,25–34,iOS 15,4.8,Kept
APPL-00000047,2023-04-12,2023,Q2,April,Argentina,South America,Córdoba,iPhone 15 Pro,iPhone,64 GB,Deep Purple,957.25,15,2,813.66,1627.32,ARS,907.0,1475979.24,Third-Party Retailer,Net Banking,Individual,35–44,iOS 15,,Kept
APPL-00000048,2023-09-13,2023,Q3,September,Argentina,South America,Córdoba,Mac mini (M2),Mac,2 TB SSD,Silver,582.64,0,2,582.64,1165.28,ARS,907.0,1056908.96,Online (Apple.com),Cash,Business,18–24,N/A,3.9,Kept
APPL-00000049,2023-10-15,2023,Q4,October,Argentina,South America,Córdoba,Apple Watch SE (2nd Gen),Apple Watch,N/A,Silver,252.51,2,2,247.46,494.92,ARS,907.0,448892.44,Corporate / B2B,Gift Card,Education,45–54,N/A,4.6,Kept
APPL-00000050,2023-11-20,2023,Q4,November,Argentina,South America,Córdoba,Apple TV 4K (3rd Gen),Accessories,N/A,Space Gray,134.59,15,5,114.4,572.0,ARS,907.0,518804.0,Online (Apple.com),Gift Card,Individual,18–24,N/A,,Kept
APPL-00000051,2024-02-28,2024,Q1,February,Argentina,South America,Córdoba,Apple Pencil (1st Gen),Accessories,N/A,Space Gray,105.23,2,2,103.13,206.26,ARS,907.0,187077.82,Authorized Reseller,Cash,Business,18–24,N/A,3.7,Returned
APPL-00000052,2024-03-27,2024,Q1,March,Argentina,South America,Córdoba,AirPods (2nd Gen),AirPods,N/A,Starlight,134.64,2,1,131.95,131.95,ARS,907.0,119678.65,Online (Apple.com),Net Banking,Business,45–54,N/A,5.0,Kept
APPL-00000053,2024-03-29,2024,Q1,March,Argentina,South America,Córdoba,MacBook Air 13-inch (M2),Mac,512 GB SSD,Gold,1045.69,5,2,993.41,1986.82,ARS,907.0,1802045.74,Third-Party Retailer,Credit Card,Education,18–24,N/A,4.4,Kept
APPL-00000054,2024-03-31,2024,Q1,March,Argentina,South America,Córdoba,Magic Trackpad,Accessories,N/A,Silver,139.02,7,2,129.29,258.58,ARS,907.0,234532.06,Authorized Reseller,Net Banking,Business,55+,N/A,4.4,Returned
APPL-00000055,2024-04-15,2024,Q2,April,Argentina,South America,Córdoba,MacBook Air 13-inch (M2),Mac,512 GB SSD,Silver,1175.43,0,2,1175.43,2350.86,ARS,907.0,2132230.02,Corporate / B2B,EMI / Installment,Individual,35–44,N/A,4.9,Kept
APPL-00000056,2024-04-26,2024,Q2,April,Argentina,South America,Córdoba,iPhone 13 Pro Max,iPhone,256 GB,Black Titanium,1028.59,0,1,1028.59,1028.59,ARS,907.0,932931.13,Corporate / B2B,Gift Card,Government,45–54,iOS 16,4.4,Kept
APPL-00000057,2024-05-03,2024,Q2,May,Argentina,South America,Córdoba,iPhone 13,iPhone,128 GB,Yellow,669.5,0,2,669.5,1339.0,ARS,907.0,1214473.0,Third-Party Retailer,Net Banking,Government,25–34,Other,,Kept
APPL-00000058,2024-05-05,2024,Q2,May,Argentina,South America,Córdoba,iPad (10th Generation),iPad,2 TB,Gold,433.04,15,1,368.08,368.08,ARS,907.0,333848.56,Corporate / B2B,Credit Card,Government,18–24,N/A,4.4,Kept
APPL-00000059,2024-05-08,2024,Q2,May,Argentina,South America,Córdoba,MacBook Pro 16-inch (M3 Pro),Mac,512 GB SSD,Midnight,2406.81,5,4,2286.47,9145.88,ARS,907.0,8295313.16,Carrier Store,Credit Card,Government,35–44,N/A,,Kept
APPL-00000060,2024-05-29,2024,Q2,May,Argentina,South America,Córdoba,iPhone 13 Pro Max,iPhone,64 GB,Blue Titanium,1115.24,10,2,1003.72,2007.44,ARS,907.0,1820748.08,Apple Store,Apple Pay,Individual,35–44,New User,,Kept
APPL-00000061,2024-08-18,2024,Q3,August,Argentina,South America,Córdoba,MacBook Pro 16-inch (M3 Pro),Mac,1 TB SSD,Gold,2529.01,0,2,2529.01,5058.02,ARS,907.0,4587624.14,Corporate / B2B,Cash,Education,35–44,N/A,4.8,Kept
APPL-00000062,2024-08-20,2024,Q3,August,Argentina,South America,Córdoba,MacBook Pro 14-inch (M3),Mac,512 GB SSD,Space Gray,1913.83,0,3,1913.83,5741.49,ARS,907.0,5207531.43,Authorized Reseller,Gift Card,Individual,35–44,N/A,4.6,Kept
APPL-00000063,2024-09-20,2024,Q3,September,Argentina,South America,Córdoba,iPhone 15 Pro Max,iPhone,64 GB,Product Red,1181.41,0,1,1181.41,1181.41,ARS,907.0,1071538.87,Third-Party Retailer,Credit Card,Business,25–34,Other,,Kept
APPL-00000064,2024-10-15,2024,Q4,October,Argentina,South America,Córdoba,Magic Keyboard,Accessories,N/A,Silver,105.89,0,1,105.89,105.89,ARS,907.0,96042.23,Third-Party Retailer,EMI / Installment,Individual,35–44,N/A,4.3,Kept
APPL-00000065,2022-01-03,2022,Q1,January,Argentina,South America,La Plata,Apple Watch SE (2nd Gen),Apple Watch,N/A,Natural,229.63,7,3,213.56,640.68,ARS,907.0,581096.76,Online (Apple.com),EMI / Installment,Education,25–34,N/A,,Kept
APPL-00000066,2022-01-20,2022,Q1,January,Argentina,South America,La Plata,iPad Air (M1),iPad,64 GB,Space Gray,559.06,0,7,559.06,3913.42,ARS,907.0,3549471.94,Online (Apple.com),Net Banking,Education,18–24,N/A,4.7,Kept
APPL-00000067,2022-03-16,2022,Q1,March,Argentina,South America,La Plata,iPad (10th Generation),iPad,64 GB,Silver,462.57,0,2,462.57,925.14,ARS,907.0,839101.98,Third-Party Retailer,Credit Card,Individual,55+,N/A,,Exchanged
APPL-00000068,2022-05-23,2022,Q2,May,Argentina,South America,La Plata,AirPods Max,AirPods,N/A,Midnight,541.34,3,1,525.1,525.1,ARS,907.0,476265.7,Online (Apple.com),Net Banking,Business,45–54,N/A,3.6,Kept
APPL-00000069,2022-07-15,2022,Q3,July,Argentina,South America,La Plata,iPad Pro 11-inch (M2),iPad,512 GB,Space Gray,825.28,15,5,701.49,3507.45,ARS,907.0,3181257.15,Carrier Store,Debit Card,Government,25–34,N/A,,Kept
APPL-00000070,2022-10-03,2022,Q4,October,Argentina,South America,La Plata,AirPods Pro (2nd Gen),AirPods,N/A,Midnight,241.21,0,1,241.21,241.21,ARS,907.0,218777.47,Carrier Store,Net Banking,Government,25–34,N/A,,Kept
APPL-00000071,2022-10-07,2022,Q4,October,Argentina,South America,La Plata,Mac mini (M2),Mac,256 GB SSD,Midnight,573.62,0,1,573.62,573.62,ARS,907.0,520273.34,Corporate / B2B,Gift Card,Business,18–24,N/A,,Kept
APPL-00000072,2022-10-16,2022,Q4,October,Argentina,South America,La Plata,USB-C Woven Charge Cable,Accessories,N/A,Silver,28.03,0,2,28.03,56.06,ARS,907.0,50846.42,Online (Apple.com),Credit Card,Government,45–54,N/A,4.6,Kept
APPL-00000073,2022-11-19,2022,Q4,November,Argentina,South America,La Plata,Apple Pencil (1st Gen),Accessories,N/A,Black,92.61,5,1,87.98,87.98,ARS,907.0,79797.86,Online (Apple.com),Net Banking,Business,25–34,N/A,3.6,Kept
APPL-00000074,2023-02-05,2023,Q1,February,Argentina,South America,La Plata,HomePod mini,Accessories,N/A,Black,102.83,2,2,100.77,201.54,ARS,907.0,182796.78,Carrier Store,Net Banking,Business,55+,N/A,3.1,Kept
APPL-00000075,2023-03-24,2023,Q1,March,Argentina,South America,La Plata,iPhone 14 Pro Max,iPhone,1 TB,Starlight,1026.3,7,1,954.46,954.46,ARS,907.0,865695.22,Third-Party Retailer,EMI / Installment,Government,55+,Other,4.5,Kept
APPL-00000076,2023-04-03,2023,Q2,April,Argentina,South America,La Plata,Magic Keyboard,Accessories,N/A,Silver,98.43,15,2,83.67,167.34,ARS,907.0,151777.38,Corporate / B2B,Apple Pay,Government,25–34,N/A,4.0,Kept
APPL-00000077,2023-04-04,2023,Q2,April,Argentina,South America,La Plata,Apple Watch Ultra 2,Apple Watch,N/A,Silver,799.97,0,4,799.97,3199.88,ARS,907.0,2902291.16,Carrier Store,Cash,Business,18–24,N/A,3.8,Kept
APPL-00000078,2023-04-05,2023,Q2,April,Argentina,South America,La Plata,Magic Keyboard,Accessories,N/A,Black,103.91,0,3,103.91,311.73,ARS,907.0,282739.11,Authorized Reseller,Credit Card,Government,35–44,N/A,3.5,Kept
APPL-00000079,2023-04-07,2023,Q2,April,Argentina,South America,La Plata,iPhone 14,iPhone,64 GB,Black,747.46,0,1,747.46,747.46,ARS,907.0,677946.22,Third-Party Retailer,Cash,Business,35–44,iOS 15,,Kept
APPL-00000080,2023-04-17,2023,Q2,April,Argentina,South America,La Plata,iPhone 15 Pro Max,iPhone,256 GB,Black,1129.77,15,2,960.3,1920.6,ARS,907.0,1741984.2,Online (Apple.com),Gift Card,Business,55+,Other,4.4,Kept
APPL-00000081,2023-05-15,2023,Q2,May,Argentina,South America,La Plata,iPhone 14,iPhone,64 GB,Natural Titanium,838.73,0,1,838.73,838.73,ARS,907.0,760728.11,Apple Store,Credit Card,Business,25–34,iOS 16,3.3,Kept
APPL-00000082,2023-05-21,2023,Q2,May,Argentina,South America,La Plata,iPhone 14,iPhone,1 TB,Midnight,773.96,0,1,773.96,773.96,ARS,907.0,701981.72,Carrier Store,Gift Card,Business,45–54,Other,3.4,Kept
APPL-00000083,2023-05-24,2023,Q2,May,Argentina,South America,La Plata,MacBook Pro 16-inch (M3 Pro),Mac,2 TB SSD,Starlight,2660.43,0,1,2660.43,2660.43,ARS,907.0,2413010.01,Authorized Reseller,Cash,Business,45–54,N/A,,Returned
APPL-00000084,2023-05-26,2023,Q2,May,Argentina,South America,La Plata,Apple Watch Series 9,Apple Watch,N/A,Silver,385.91,7,1,358.9,358.9,ARS,907.0,325522.3,Apple Store,Gift Card,Government,18–24,N/A,,Kept
APPL-00000085,2023-06-08,2023,Q2,June,Argentina,South America,La Plata,iPhone 14 Pro Max,iPhone,128 GB,Silver,1002.66,0,1,1002.66,1002.66,ARS,907.0,909412.62,Apple Store,Credit Card,Government,45–54,Android,4.9,Kept
APPL-00000086,2023-07-09,2023,Q3,July,Argentina,South America,La Plata,Magic Trackpad,Accessories,N/A,Black,139.07,7,2,129.34,258.68,ARS,907.0,234622.76,Corporate / B2B,Cash,Individual,35–44,N/A,4.0,Kept
APPL-00000087,2023-08-12,2023,Q3,August,Argentina,South America,La Plata,Apple Pencil (1st Gen),Accessories,N/A,Silver,104.18,0,2,104.18,208.36,ARS,907.0,188982.52,Corporate / B2B,Apple Pay,Government,55+,N/A,3.6,Kept
APPL-00000088,2023-12-27,2023,Q4,December,Argentina,South America,La Plata,MagSafe Charger,Accessories,N/A,Black,41.46,7,3,38.56,115.68,ARS,907.0,104921.76,Corporate / B2B,Net Banking,Individual,55+,N/A,4.2,Kept
APPL-00000089,2024-01-23,2024,Q1,January,Argentina,South America,La Plata,MagSafe Charger,Accessories,N/A,Space Gray,35.93,0,1,35.93,35.93,ARS,907.0,32588.51,Third-Party Retailer,Debit Card,Government,25–34,N/A,3.9,Kept
APPL-00000090,2024-03-08,2024,Q1,March,Argentina,South America,La Plata,iPhone 15 Pro Max,iPhone,512 GB,Starlight,1147.94,3,1,1113.5,1113.5,ARS,907.0,1009944.5,Authorized Reseller,Cash,Business,45–54,iOS 16,,Kept
APPL-00000091,2024-03-18,2024,Q1,March,Argentina,South America,La Plata,USB-C Woven Charge Cable,Accessories,N/A,Black,26.96,2,8,26.42,211.36,ARS,907.0,191703.52,Third-Party Retailer,Cash,Education,18–24,N/A,,Kept
APPL-00000092,2024-05-20,2024,Q2,May,Argentina,South America,La Plata,AirPods (3rd Gen),AirPods,N/A,White,164.04,10,3,147.64,442.92,ARS,907.0,401728.44,Third-Party Retailer,Apple Pay,Education,45–54,N/A,3.1,Kept
APPL-00000093,2024-06-18,2024,Q2,June,Argentina,South America,La Plata,iPhone 15 Plus,iPhone,512 GB,Black Titanium,900.14,5,1,855.13,855.13,ARS,907.0,775602.91,Corporate / B2B,Apple Pay,Government,18–24,Android,3.1,Kept
APPL-00000094,2024-09-27,2024,Q3,September,Argentina,South America,La Plata,Apple TV 4K (3rd Gen),Accessories,N/A,Black,119.08,2,4,116.7,466.8,ARS,907.0,423387.6,Apple Store,Debit Card,Individual,18–24,N/A,4.6,Exchanged
APPL-00000095,2024-12-23,2024,Q4,December,Argentina,South America,La Plata,Mac Pro (M2 Ultra),Mac,512 GB SSD,Silver,6652.5,15,1,5654.62,5654.62,ARS,907.0,5128740.34,Corporate / B2B,Apple Pay,Education,25–34,N/A,,Kept
APPL-00000096,2024-12-27,2024,Q4,December,Argentina,South America,La Plata,iPhone 15 Pro Max,iPhone,1 TB,Yellow,1143.37,15,1,971.86,971.86,ARS,907.0,881477.02,Corporate / B2B,Net Banking,Education,25–34,iOS 17,3.1,Returned
APPL-00000097,2022-01-18,2022,Q1,January,Argentina,South America,Mar del Plata,iPad (10th Generation),iPad,64 GB,Space Gray,416.95,2,2,408.61,817.22,ARS,907.0,741218.54,Apple Store,Credit Card,Individual,18–24,N/A,3.2,Returned
APPL-00000098,2022-03-17,2022,Q1,March,Argentina,South America,Mar del Plata,iPad Pro 12.9-inch (M2),iPad,128 GB,Gold,1104.61,0,2,1104.61,2209.22,ARS,907.0,2003762.54,Authorized Reseller,Debit Card,Business,18–24,N/A,4.0,Kept
APPL-00000099,2022-05-24,2022,Q2,May,Argentina,South America,Mar del Plata,AirPods (3rd Gen),AirPods,N/A,Sky,170.56,10,3,153.5,460.5,ARS,907.0,417673.5,Corporate / B2B,EMI / Installment,Education,45–54,N/A,4.5,Kept
APPL-00000100,2022-05-31,2022,Q2,May,Argentina,South America,Mar del Plata,HomePod mini,Accessories,N/A,Space Gray,93.31,10,2,83.98,167.96,ARS,907.0,152339.72,Authorized Reseller,Net Banking,Government,35–44,N/A,4.9,Kept
APPL-00000101,2022-06-11,2022,Q2,June,Argentina,South America,Mar del Plata,AirPods (3rd Gen),AirPods,N/A,Starlight,180.43,10,1,162.39,162.39,ARS,907.0,147287.73,Corporate / B2B,Apple Pay,Education,25–34,N/A,,Kept
APPL-00000102,2022-10-30,2022,Q4,October,Argentina,South America,Mar del Plata,Apple Watch Series 8,Apple Watch,N/A,Natural,304.55,10,1,274.1,274.1,ARS,907.0,248608.7,Corporate / B2B,Debit Card,Government,25–34,N/A,3.6,Kept
APPL-00000103,2022-10-31,2022,Q4,October,Argentina,South America,Mar del Plata,iPad Air (M1),iPad,128 GB,Silver,622.68,10,3,560.41,1681.23,ARS,907.0,1524875.61,Carrier Store,Credit Card,Education,25–34,N/A,3.6,Kept
APPL-00000104,2022-11-16,2022,Q4,November,Argentina,South America,Mar del Plata,Apple Watch Ultra 2,Apple Watch,N/A,Natural,838.27,5,2,796.36,1592.72,ARS,907.0,1444597.04,Corporate / B2B,Credit Card,Government,35–44,N/A,4.5,Kept
APPL-00000105,2022-11-28,2022,Q4,November,Argentina,South America,Mar del Plata,Apple Watch Series 8,Apple Watch,N/A,Starlight,285.74,15,3,242.88,728.64,ARS,907.0,660876.48,Third-Party Retailer,EMI / Installment,Education,35–44,N/A,,Kept
APPL-00000106,2023-01-29,2023,Q1,January,Argentina,South America,Mar del Plata,iPad Air (M1),iPad,128 GB,Space Gray,605.36,7,1,562.98,562.98,ARS,907.0,510622.86,Carrier Store,Net Banking,Education,55+,N/A,,Kept
APPL-00000107,2023-02-27,2023,Q1,February,Argentina,South America,Mar del Plata,Mac Pro (M2 Ultra),Mac,512 GB SSD,Starlight,6919.19,3,3,6711.61,20134.83,ARS,907.0,18262290.81,Online (Apple.com),Gift Card,Individual,35–44,N/A,3.4,Kept
